Date,horizon,prediction,lower_ci,upper_ci,actual,error
2021-05-31,6,3.011108955310735,2.7513089553107353,3.270908955310735,3.135,-0.1238910446892647
2021-06-30,6,2.8831155769603543,2.623315576960354,3.1429155769603545,2.911,-0.027884423039645778
2021-07-31,6,2.903560828811064,2.6437608288110637,3.163360828811064,3.009,-0.10543917118893598
2021-08-31,6,2.952372666066416,2.6925726660664155,3.212172666066416,2.734,0.2183726660664158
2021-05-31,9,3.046637087027758,2.7868370870277577,3.3064370870277577,2.734,0.31263708702775794
2021-06-30,9,3.013144364214468,2.753344364214468,3.272944364214468,2.741,0.27214436421446786
2021-07-31,9,3.004251231762024,2.7444512317620235,3.2640512317620236,2.854,0.1502512317620237
2021-08-31,9,3.0522993711414905,2.7924993711414907,3.3120993711414908,2.897,0.15529937114149073
2021-05-31,12,2.820068557760487,2.5602685577604873,3.079868557760487,2.897,-0.07693144223951265
2021-06-30,12,2.893088385334718,2.633288385334718,3.152888385334718,2.863,0.030088385334718026
2021-07-31,12,2.9022257920632124,2.6424257920632126,3.162025792063212,2.893,0.009225792063212612
2021-08-31,12,2.8580051080629265,2.5982051080629267,3.1178051080629263,2.962,-0.10399489193707367
2021-09-30,6,2.7988008581667536,2.5390008581667534,3.0586008581667534,2.741,0.05780085816675351
2021-10-31,6,2.7637589290180102,2.50395892901801,3.0235589290180105,2.854,-0.09024107098198986
2021-11-30,6,2.9199767226511866,2.6601767226511868,3.1797767226511864,2.897,0.022976722651186776
2021-12-31,6,2.9163382701502627,2.6565382701502624,3.1761382701502625,2.863,0.05333827015026271
2021-09-30,9,2.966093580762725,2.706293580762725,3.225893580762725,2.863,0.1030935807627249
2021-10-31,9,2.861689799158479,2.6018897991584793,3.1214897991584794,2.893,-0.0313102008415207
2021-11-30,9,2.8651927544997977,2.605392754499798,3.1249927544997975,2.962,-0.09680724550020248
2021-12-31,9,2.9632483446418147,2.7034483446418145,3.223048344641815,2.95,0.013248344641814569
2021-09-30,12,2.849776261833815,2.589976261833815,3.1095762618338147,2.95,-0.10022373816618524
2021-10-31,12,2.950156391158189,2.6903563911581894,3.2099563911581894,3.135,-0.1848436088418106
2021-11-30,12,2.8861056264905343,2.6263056264905345,3.145905626490534,3.259,-0.37289437350946564
2021-12-31,12,2.8595900569700285,2.5997900569700287,3.119390056970029,3.485,-0.6254099430299713
2022-01-31,6,2.9271732967619255,2.6673732967619257,3.1869732967619253,2.893,0.03417329676192571
2022-02-28,6,2.9165671107044404,2.6567671107044406,3.17636711070444,2.962,-0.045432889295559775
2022-03-31,6,2.8308900435373046,2.5710900435373043,3.090690043537305,2.95,-0.11910995646269562
2022-04-30,6,3.044710965607499,2.784910965607499,3.3045109656074994,3.135,-0.09028903439250069
2022-01-31,9,2.880595913819923,2.620795913819923,3.1403959138199227,3.135,-0.2544040861800769
2022-02-28,9,2.9276461192278553,2.6678461192278555,3.1874461192278556,3.259,-0.33135388077214456
2022-03-31,9,2.9603634785357253,2.7005634785357255,3.220163478535725,3.485,-0.5246365214642745
2022-04-30,9,2.8513355701766723,2.5915355701766725,3.111135570176672,3.455,-0.6036644298233278
2022-01-31,12,3.4138692782624136,3.154069278262414,3.6736692782624134,3.455,-0.04113072173758647
2022-02-28,12,3.3693625391589928,3.1095625391589925,3.629162539158993,3.249,0.12036253915899264
2022-03-31,12,3.31955264971716,3.0597526497171597,3.57935264971716,3.431,-0.11144735028284014
2022-04-30,12,3.2326792340637045,2.9728792340637047,3.4924792340637048,3.311,-0.07832076593629544
2022-05-31,6,3.0948615540613327,2.8350615540613324,3.3546615540613325,3.259,-0.16413844593866722
2022-06-30,6,3.162159558456601,2.9023595584566007,3.4219595584566007,3.485,-0.32284044154339897
2022-07-31,6,3.156497866843524,2.8966978668435237,3.4162978668435238,3.455,-0.2985021331564761
2022-08-31,6,3.1983355070310235,2.9385355070310233,3.4581355070310233,3.249,-0.05066449296897657
2022-05-31,9,3.282922352153899,3.0231223521538992,3.5427223521538993,3.249,0.03392235215389894
2022-06-30,9,3.4342745084289423,3.1744745084289425,3.694074508428942,3.431,0.00327450842894228
2022-07-31,9,3.369241686486987,3.109441686486987,3.629041686486987,3.311,0.05824168648698702
2022-08-31,9,3.4984122899495866,3.238612289949587,3.7582122899495864,3.223,0.2754122899495868
2022-05-31,12,3.3898575612777577,3.130057561277758,3.649657561277758,3.223,0.16685756127775786
2022-06-30,12,3.3708389408376007,3.1110389408376005,3.6306389408376005,3.298,0.07283894083760067
2022-07-31,12,3.4183866519672312,3.158586651967231,3.6781866519672315,3.306,0.11238665196723119
2022-08-31,12,3.437931495417285,3.1781314954172846,3.697731495417285,3.293,0.14493149541728467
2022-09-30,6,2.985673465436208,2.725873465436208,3.245473465436208,3.431,-0.445326534563792
2022-10-31,6,3.012704710233778,2.7529047102337776,3.2725047102337776,3.311,-0.2982952897662221
2022-11-30,6,2.8294065845029355,2.5696065845029357,3.0892065845029357,3.223,-0.3935934154970644
2022-12-31,6,2.8432211557849514,2.5834211557849516,3.103021155784951,3.298,-0.45477884421504866
2022-09-30,9,3.2618661079368154,3.0020661079368156,3.5216661079368157,3.298,-0.036133892063184625
2022-10-31,9,3.23412883405316,2.9743288340531597,3.4939288340531602,3.306,-0.07187116594684007
2022-11-30,9,3.0845062539097294,2.8247062539097296,3.3443062539097292,3.293,-0.20849374609027072
2022-12-31,9,3.097923682238979,2.838123682238979,3.357723682238979,3.148,-0.05007631776102128
2022-09-30,12,3.4054407118317864,3.1456407118317866,3.6652407118317862,3.148,0.2574407118317863
2022-10-31,12,3.3592429341629595,3.0994429341629592,3.6190429341629597,3.268,0.0912429341629597
2022-11-30,12,3.217062724625004,2.957262724625004,3.476862724625004,3.425,-0.20793727537499596
2022-12-31,12,3.2919559304804578,3.032155930480458,3.551755930480458,3.598,-0.3060440695195421
