Date,0
2021-05-31,high_inflation_warning
2021-06-30,moderate_inflation_warning
2021-07-31,moderate_inflation_warning
2021-08-31,moderate_inflation_warning
2021-05-31,high_inflation_warning
2021-06-30,high_inflation_warning
2021-07-31,high_inflation_warning
2021-08-31,high_inflation_warning
2021-05-31,moderate_inflation_warning
2021-06-30,moderate_inflation_warning
2021-07-31,moderate_inflation_warning
2021-08-31,moderate_inflation_warning
2021-09-30,moderate_inflation_warning
2021-10-31,moderate_inflation_warning
2021-11-30,moderate_inflation_warning
2021-12-31,moderate_inflation_warning
2021-09-30,moderate_inflation_warning
2021-10-31,moderate_inflation_warning
2021-11-30,moderate_inflation_warning
2021-12-31,moderate_inflation_warning
2021-09-30,moderate_inflation_warning
2021-10-31,moderate_inflation_warning
2021-11-30,moderate_inflation_warning
2021-12-31,moderate_inflation_warning
2022-01-31,moderate_inflation_warning
2022-02-28,moderate_inflation_warning
2022-03-31,moderate_inflation_warning
2022-04-30,high_inflation_warning
2022-01-31,moderate_inflation_warning
2022-02-28,moderate_inflation_warning
2022-03-31,moderate_inflation_warning
2022-04-30,moderate_inflation_warning
2022-01-31,high_inflation_warning
2022-02-28,high_inflation_warning
2022-03-31,high_inflation_warning
2022-04-30,high_inflation_warning
2022-05-31,high_inflation_warning
2022-06-30,high_inflation_warning
2022-07-31,high_inflation_warning
2022-08-31,high_inflation_warning
2022-05-31,high_inflation_warning
2022-06-30,high_inflation_warning
2022-07-31,high_inflation_warning
2022-08-31,high_inflation_warning
2022-05-31,high_inflation_warning
2022-06-30,high_inflation_warning
2022-07-31,high_inflation_warning
2022-08-31,high_inflation_warning
2022-09-30,moderate_inflation_warning
2022-10-31,high_inflation_warning
2022-11-30,moderate_inflation_warning
2022-12-31,moderate_inflation_warning
2022-09-30,high_inflation_warning
2022-10-31,high_inflation_warning
2022-11-30,high_inflation_warning
2022-12-31,high_inflation_warning
2022-09-30,high_inflation_warning
2022-10-31,high_inflation_warning
2022-11-30,high_inflation_warning
2022-12-31,high_inflation_warning
